# {"t_start": 1591861162.7128847, "env_id": "Humanoid-v2"} 
r,l,t
99.455041,20,35.976193
146.573825,29,36.0604
161.83615,32,36.162571
122.473773,26,36.253781
87.71027,18,36.308841
92.92644,19,36.367096
159.533707,32,36.469743
94.823422,19,36.525786
148.836537,31,36.622714
114.120816,23,36.693729
108.869809,24,36.758001
94.203129,19,36.80988
116.992705,24,36.877252
81.153033,17,36.928857
81.282901,17,36.978234
87.548249,18,37.028434
127.308733,25,37.102234
92.937098,19,37.156084
104.985351,21,37.215016
158.550925,31,37.302428
188.581356,37,37.411638
179.255424,35,37.508624
92.033351,19,37.561371
82.632976,17,37.612141
173.744646,34,37.713392
136.893467,27,37.792224
182.319739,38,37.905821
98.75215,20,37.962777
99.512465,21,38.02256
97.518687,20,38.076172
76.621867,16,38.122029
93.188518,19,38.178554
76.564641,16,38.224891
123.14595,24,38.292701
204.966874,39,38.404213
76.301553,16,38.447172
114.681758,24,38.514179
104.321272,21,38.57626
81.370937,17,38.627864
88.658764,18,38.681705
86.574539,18,38.737316
105.467405,21,38.803508
143.187545,28,38.890849
261.5427,54,40.780756
123.826184,26,40.852441
160.528551,35,40.952147
135.571537,27,41.023307
92.304355,19,41.075604
145.183502,28,41.153167
139.278277,28,41.233967
154.960303,32,41.320568
115.95863,24,41.392151
154.468966,30,41.478643
111.552674,22,41.535791
97.283349,20,41.593691
76.676884,16,41.638332
298.681692,60,41.822119
111.255768,23,41.893472
90.596308,19,41.951946
81.10708,17,42.004007
142.70192,28,42.090023
138.215741,27,42.1727
97.999768,21,42.232029
171.128515,34,42.342308
87.768521,18,42.39561
92.764799,19,42.451218
123.294411,25,42.525517
115.632519,23,42.591202
99.546822,20,42.646577
91.399243,19,42.700415
170.156396,33,42.791091
175.268548,34,42.894618
92.15318,19,42.948743
118.47588,25,43.031031
115.292794,26,43.104592
111.111193,22,43.169048
81.335793,17,43.216448
87.843576,18,43.268371
92.499896,19,43.321362
148.944064,31,43.403445
139.910277,27,43.477264
83.173582,17,43.525437
149.723148,30,43.608489
81.561499,17,43.659583
176.519556,36,43.760866
266.586293,56,43.92432
91.577161,19,43.975847
132.286824,26,44.056314
157.134283,31,44.153294
81.203335,17,44.209342
131.870208,26,44.278715
97.282407,20,44.331283
311.299422,60,44.504423
123.258315,24,44.580517
98.653484,20,44.645274
214.9758,43,44.767805
134.660094,29,44.849264
128.030551,26,44.919943
126.67595,25,44.994125
81.792733,17,45.04388
88.123121,18,45.098281
140.22882,29,45.18594
126.144548,25,45.257506
118.026561,25,45.326272
120.567747,24,45.400552
91.37952,19,45.455916
220.097449,46,45.588877
175.976801,35,45.687264
113.020327,23,45.753304
134.433918,28,45.833996
247.954463,46,45.967873
102.491394,21,46.027863
129.947636,27,46.104567
287.611996,57,46.273029
113.643802,23,46.337958
134.432649,27,46.414752
156.368766,32,46.505827
96.879748,20,46.565536
76.721911,16,46.611346
81.128781,17,46.660045
162.274476,33,48.42814
175.567116,34,48.53092
102.780003,21,48.600644
136.092892,26,48.669323
194.397983,42,48.787014
201.370177,41,48.90847
145.022163,31,49.000882
154.787905,33,49.106631
137.312686,30,49.194921
81.414553,17,49.243422
