approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.036375932,0.6489624,229.43,1281.63273708,0.9448010921478271,1072,448,17.145065,-0.033681132,917504,3413.090717792511,3670016,0.018390177
0.03589304,0.64118654,225.22,1255.90518262,0.9372152015566826,1096,449,17.117811,-0.032243676,919552,3420.5624120235443,3678208,0.022181582
0.03941877,0.65179443,227.29,1271.50547634,0.9316074326634407,1061,450,17.093067,-0.032668002,921600,3428.2791328430176,3686400,0.02384283
0.038529493,0.6484741,224.82,1256.36782574,0.9506240487098694,1053,451,17.078602,-0.031521376,923648,3436.0561621189117,3694592,0.01804649
0.042488076,0.6548828,227.31,1269.10394086,0.944970078766346,1060,452,17.05653,-0.033246778,925696,3443.778464317322,3702784,0.018472191
0.03788977,0.65198976,227.35,1267.0543262400001,0.9590221866965294,1043,453,17.032017,-0.033447936,927744,3451.632851600647,3710976,0.013831849
0.03842055,0.65682375,231.19,1285.8448182900001,0.9459102004766464,1062,454,17.010572,-0.033262424,929792,3459.343109846115,3719168,0.017417483
0.04103016,0.65844727,235.58,1313.0368233500003,0.9372451901435852,1066,455,16.99619,-0.033079058,931840,3467.0279409885406,3727360,0.020461518
0.03861857,0.6471313,245.79,1370.37792219,0.9432625807821751,1058,456,16.978657,-0.03154616,933888,3474.769509077072,3735552,0.018812459
0.03769321,0.64899904,256.5,1438.5974499300003,0.9519917517900467,1059,457,16.96144,-0.031964757,935936,3482.5034730434418,3743744,0.015446192
0.03818258,0.647229,246.05,1368.6728458799998,0.9469621963799,1047,458,16.94741,-0.033809043,937984,3490.321599960327,3751936,0.019860726
0.037973076,0.64608157,237.34,1318.65172502,0.9498509578406811,1106,459,16.9267,-0.03131632,940032,3497.7278723716736,3760128,0.018196624
0.03597151,0.64259034,222.64,1225.61369667,0.9530035965144634,1079,460,16.908512,-0.033127673,942080,3505.3141696453094,3768320,0.018253509
0.03663476,0.6459839,217.98,1200.32452713,0.9524017535150051,1164,461,16.884274,-0.03361055,944128,3512.3485703468323,3776512,0.018274058
0.041107707,0.6498901,227.54,1262.29311571,0.9528139792382717,1081,462,16.869473,-0.031244125,946176,3519.9228711128235,3784704,0.015572675
0.039152853,0.649353,234.74,1301.2141314200003,0.9549883380532265,1075,463,16.8474,-0.03361433,948224,3527.53848528862,3792896,0.015735313
0.039994754,0.6481079,239.0,1333.35402397,0.945998914539814,1065,464,16.831388,-0.032006763,950272,3535.2276203632355,3801088,0.019660415
0.039674155,0.65152586,233.17,1289.50189973,0.9591424912214279,1108,465,16.798532,-0.033003114,952320,3542.619938850403,3809280,0.015232722
0.037542336,0.6454956,231.75,1283.1356753,0.9477431811392307,1085,466,16.780983,-0.032038286,954368,3550.1675505638123,3817472,0.018882388
0.03677338,0.64647216,233.75,1283.4685066000002,0.9534244537353516,1111,467,16.753494,-0.032286335,956416,3557.5356862545013,3825664,0.018782893
0.039452754,0.6515991,232.83,1278.7193222500002,0.9554923214018345,1097,468,16.745869,-0.03405773,958464,3564.9997012615204,3833856,0.01491378
0.036606465,0.6487427,233.81,1283.94673494,0.9501629807054996,1092,469,16.737064,-0.033014722,960512,3572.4986526966095,3842048,0.017391931
