# {"t_start": 1591841163.6566856, "env_id": "Humanoid-v2"} 
r,l,t
162.51054,34,136.500365
81.035461,17,136.608371
159.851034,32,136.812123
99.505527,21,136.973145
92.723157,19,137.085216
217.656408,44,137.588987
81.398613,17,141.157644
87.972019,18,141.25289
139.807652,28,141.534045
268.298624,56,142.045911
81.837781,17,142.241319
193.93701,38,142.703654
134.818296,27,143.038444
216.43146,45,143.504283
109.414984,22,143.680824
81.411809,17,143.806486
103.405666,21,143.9387
213.64342,44,144.217499
142.04682,28,144.385759
98.995642,20,144.498001
225.580568,42,144.782611
215.008682,45,145.079083
143.37197,28,145.249822
103.840062,21,145.392852
86.874542,18,145.565215
130.625134,26,145.892901
211.373589,41,146.325024
194.753087,38,146.699195
156.813515,31,146.943883
163.645937,34,147.186578
217.183586,41,147.572232
140.79152,31,147.914248
151.938276,30,148.193518
156.208461,32,148.496812
223.079862,45,148.89879
81.443182,17,149.03791
76.620648,16,149.220928
105.229067,21,149.413543
207.890165,40,149.668435
132.280182,26,149.917014
195.005452,39,150.304837
93.551229,19,150.504792
125.061989,25,150.78911
121.92669,24,150.962782
156.932716,32,151.28315
116.407664,23,151.519577
136.508806,27,151.716268
81.33076,17,151.865885
97.439478,20,152.053675
110.786889,23,152.257262
184.803724,36,152.612748
105.452722,21,152.823346
100.798782,22,152.980246
206.760821,41,153.272186
114.6324,24,153.433819
131.284663,28,153.671248
148.745238,29,153.898689
180.637578,38,154.154974
89.228108,18,154.273147
206.496032,42,154.585806
172.626864,33,154.818899
86.477236,18,154.983618
172.211178,36,155.24775
177.616885,36,155.657947
99.326527,20,155.85855
125.365534,25,156.026471
194.113479,38,156.275519
166.051823,32,156.484835
164.476286,34,156.735065
194.089696,41,157.079457
81.399281,17,157.328027
156.794896,32,157.798658
85.861007,18,158.068561
200.382942,42,158.579341
99.957325,20,158.830573
158.709413,31,159.211256
88.313494,18,159.461708
88.802442,18,163.586179
93.103933,19,163.705968
104.552497,21,163.834079
98.049087,20,163.960861
133.458845,27,164.135779
189.744165,36,164.377666
137.928596,28,164.580413
98.541412,20,164.722001
274.245952,54,165.138189
162.14632,32,165.371955
194.44006,40,165.736786
145.078308,28,165.938217
143.856641,28,166.136443
105.500934,23,166.310799
113.929643,23,166.478958
186.35522,38,166.727705
184.10086,37,166.961514
90.416309,19,167.079292
93.455192,19,167.213986
93.203928,19,167.36323
177.407303,36,167.651683
183.753813,37,167.88851
86.325794,18,168.005375
210.697824,42,168.274218
298.794609,64,168.714543
111.364153,22,168.963297
152.713359,32,169.291434
171.041494,35,169.588433
139.052387,31,169.858895
81.173434,17,169.969774
211.928665,42,170.302266
216.541837,44,170.694173
93.260741,19,170.896983
231.791005,53,171.320184
120.35306,25,171.497454
194.364788,39,171.786659
134.855525,27,172.046803
125.752435,25,172.268673
193.321132,41,172.576937
103.577159,21,172.735597
